Monitoring Sites,April,May,June,July,August,September,October
Dam Pool,4.71,4.97,4.07,9.09,20.63,8.56,5.19
MidLake u/s Flowery Branch ,5.47,5.85,3.28,6.41,17.09,10.62,5.6
Browns Bridge,6.85,4.78,5.8,9.54,15.05,15.48,7.74
Lanier Bridge,9.44,6.63,6.54,8.82,12.61,19.44,9.9
Boling  Bridge,7.91,4.23,4.01,7.1,9.29,12.05,9.14
Flat Creek Embayment,8.14,,4.26,9.18,16.09,17.28,7.87
Balus Creek Embayment,8.65,,5,6.83,17.53,15.56,6.41
Mud Creek Embayment,6.93,,4.73,7.2,17.32,13.45,6.03
Little River Embayment,13.16,,6.55,9.13,10.48,15.17,14.43
Six  Mile Embayment,6.49,,3.14,7.47,16.82,,7
